Date,Open,High,Low,Close,Adj Close,Volume
2013-10-14,30.000000,30.000000,30.000000,30.000000,30.000000,0
2013-10-15,29.792500,29.792500,29.792500,29.792500,29.792500,0
2013-10-16,30.206800,30.206800,30.206800,30.206800,30.206800,0
2013-10-17,30.417200,30.417200,30.417200,30.417200,30.417200,0
2013-10-18,30.620199,30.620199,30.620199,30.620199,30.620199,0
2013-10-21,30.618299,30.618299,30.618299,30.618299,30.618299,0
2013-10-22,30.783300,30.783300,30.783300,30.783300,30.783300,0
2013-10-23,30.629601,30.629601,30.629601,30.629601,30.629601,0
2013-10-24,30.732401,30.732401,30.732401,30.732401,30.732401,0
2013-10-25,30.854900,30.854900,30.854900,30.854900,30.854900,0
2013-10-28,30.884300,30.884300,30.884300,30.884300,30.884300,0
2013-10-29,31.044800,31.044800,31.044800,31.044800,31.044800,0
2013-10-30,30.888901,30.888901,30.888901,30.888901,30.888901,0
2013-10-31,30.778799,30.778799,30.778799,30.778799,30.778799,0
2013-11-01,30.861000,30.861000,30.861000,30.861000,30.861000,0
2013-11-05,30.881599,30.881599,30.881599,30.881599,30.881599,0
2013-11-06,31.014700,31.014700,31.014700,31.014700,31.014700,0
2013-11-07,30.600201,30.600201,30.600201,30.600201,30.600201,0
2013-11-08,30.999500,30.999500,30.999500,30.999500,30.999500,0
2013-11-11,31.020000,31.020000,31.020000,31.020000,31.020000,0
2013-11-12,30.950600,30.950600,30.950600,30.950600,30.950600,0
2013-11-13,31.217400,31.217400,31.217400,31.217400,31.217400,0
2013-11-14,31.364599,31.364599,31.364599,31.364599,31.364599,0
2013-11-15,31.497700,31.497700,31.497700,31.497700,31.497700,0
2013-11-18,31.358000,31.358000,31.358000,31.358000,31.358000,0
2013-11-19,31.287500,31.287500,31.287500,31.287500,31.287500,0
2013-11-20,31.174801,31.174801,31.174801,31.174801,31.174801,0
2013-11-21,31.434500,31.434500,31.434500,31.434500,31.434500,0
2013-11-22,31.590200,31.590200,31.590200,31.590200,31.590200,0
2013-11-25,31.545200,31.545200,31.545200,31.545200,31.545200,0
2013-11-26,31.559200,31.559200,31.559200,31.559200,31.559200,0
2013-11-27,31.644501,31.644501,31.644501,31.644501,31.644501,0
2013-11-28,null,null,null,null,null,null
2013-11-29,31.619400,31.619400,31.619400,31.619400,31.619400,0
2013-12-02,31.537100,31.537100,31.537100,31.537100,31.537100,0
2013-12-03,31.442400,31.442400,31.442400,31.442400,31.442400,0
2013-12-04,31.412600,31.412600,31.412600,31.412600,31.412600,0
2013-12-05,31.283400,31.283400,31.283400,31.283400,31.283400,0
2013-12-06,31.621300,31.621300,31.621300,31.621300,31.621300,0
2013-12-09,31.681900,31.681900,31.681900,31.681900,31.681900,0
2013-12-10,31.589500,31.589500,31.589500,31.589500,31.589500,0
2013-12-11,31.232800,31.232800,31.232800,31.232800,31.232800,0
2013-12-12,31.131800,31.131800,31.131800,31.131800,31.131800,0
2013-12-13,31.130800,31.130800,31.130800,31.130800,31.130800,0
2013-12-16,31.319401,31.319401,31.319401,31.319401,31.319401,0
2013-12-17,31.231400,31.231400,31.231400,31.231400,31.231400,0
2013-12-18,31.739799,31.739799,31.739799,31.739799,31.739799,0
2013-12-19,31.714600,31.714600,31.714600,31.714600,31.714600,0
2013-12-20,31.876200,31.876200,31.876200,31.876200,31.876200,0
