????;1 ????;?? 2 ?? 7 ??.;?? 8 ?? 30 ??.;?? 31 ?? 90 ??.;?? 91 ?? 180 ??.;?? 181 ??. ?? 1 ????
??????? 2014 ?.;8,22;8,52;9,00;9,68;10,25;—
???????? 2014 ?.;7,95;8,31;8,99;9,62;—;—
?????? 2014 ?.;7,87;8,35;8,93;9,56;10,30;—
???? 2014 ?.;8,09;8,52;8,93;9,18;9,50;9,64
???? 2014 ?.;8,12;8,39;8,97;9,25;9,87;—
??? 2014 ?.;8,11;8,33;8,98;9,29;9,64;9,94
?????? 2014 ?.;7,80;8,14;8,27;9,33;—;9,00
???? 2014 ?.;7,75;7,94;7,53;7,52;8,45;8,33
??????? 2014 ?.;5,96;6,03;6,62;7,08;—;8,02
?????? 2014 ?.;6,02;6,06;6,00;6,53;7,10;7,25
??????? 2013 ?.;6,33;6,13;6,52;6,87;—;8,00
?????? 2013 ?.;6,07;5,82;6,38;6,44;6,50;—
??????? 2013 ?.;5,93;5,93;6,21;6,41;6,84;7,35
???????? 2013 ?.;6,14;6,04;6,32;6,36;6,69;—
?????? 2013 ?.;5,97;6,01;6,21;6,73;6,58;7,50
???? 2013 ?.;5,94;6,19;6,17;6,79;6,75;7,50
???? 2013 ?.;6,18;6,28;6,38;6,98;6,96;7,60
??? 2013 ?.;6,19;6,24;—;6,66;7,00;3,00
?????? 2013 ?.;6,03;6,20;6,38;6,91;7,12;8,28
???? 2013 ?.;5,85;5,97;6,45;7,47;7,28;—
??????? 2013 ?.;5,55;5,68;6,29;7,08;7,99;6,60
?????? 2013 ?.;5,36;5,62;6,25;6,92;7,83;9,26
??????? 2012 ?.;6,04;6,22;6,90;7,55;7,54;9,26
?????? 2012 ?.;6,02;6,32;6,34;7,43;6,65;8,10
??????? 2012 ?.;6,00;5,91;6,42;7,00;7,69;8,78
???????? 2012 ?.;5,42;5,58;6,51;7,03;7,53;—
?????? 2012 ?.;5,23;5,70;6,71;6,91;7,33;8,72
???? 2012 ?.;5,49;5,77;6,74;7,06;7,49;8,94
???? 2012 ?.;5,64;6,14;6,56;6,85;8,00;8,61
??? 2012 ?.;5,64;5,89;6,40;6,62;6,92;8,54
?????? 2012 ?.;5,19;5,43;6,00;6,96;7,01;8,55
???? 2012 ?.;4,98;4,83;5,12;6,09;6,09;6,50
??????? 2012 ?.;4,33;4,47;6,36;7,65;—;9,16
?????? 2012 ?.;4,81;5,01;6,23;6,79;7,35;9,72
??????? 2011 ?.;5,32;5,77;6,73;7,51;8,10;8,13
?????? 2011 ?.;4,95;5,38;6,31;7,09;7,34;—
??????? 2011 ?.;4,83;4,85;5,76;6,13;7,29;8,40
???????? 2011 ?.;4,34;5,06;4,75;5,25;5,17;6,72
?????? 2011 ?.;3,79;3,74;4,50;4,39;4,83;5,78
???? 2011 ?.;3,73;3,72;3,83;4,49;4,36;5,20
???? 2011 ?.;3,59;3,76;4,00;4,07;4,39;5,15
??? 2011 ?.;3,63;3,80;3,75;3,86;3,90;5,50
?????? 2011 ?.;3,13;3,14;—;3,85;—;5,43
???? 2011 ?.;2,89;3,11;—;3,62;4,66;5,32
??????? 2011 ?.;2,60;2,86;3,32;4,00;—;—
?????? 2011 ?.;2,52;3,00;3,23;4,56;4,86;—
??????? 2010 ?.;2,70;3,27;3,78;3,82;4,86;5,68
?????? 2010 ?.;2,95;3,29;3,48;3,42;4,45;6,25
??????? 2010 ?.;2,62;2,83;3,07;3,18;4,10;—
???????? 2010 ?.;2,50;2,73;3,14;3,11;3,86;5,67
?????? 2010 ?.;2,48;2,86;2,85;3,47;6,73;6,90
???? 2010 ?.;2,55;2,80;2,90;3,07;5,93;—
???? 2010 ?.;2,41;2,70;3,04;4,00;5,52;5,60
??? 2010 ?.;2,59;3,21;3,56;3,91;6,31;5,85
?????? 2010 ?.;3,10;3,62;3,87;4,22;4,50;5,71
???? 2010 ?.;3,30;3,19;3,88;4,44;4,58;—
??????? 2010 ?.;3,57;4,03;4,75;5,83;—;—
?????? 2010 ?.;3,84;3,54;4,88;5,57;—;—
